transcript_id	creative_type
creativity_0002	web_content
creativity_0007	web_content
creativity_0038	web_content
creativity_0044	web_content
creativity_0056	web_content
creativity_0069	web_content
creativity_0075	web_content
creativity_0082	web_content
creativity_0085	web_content
creativity_0097	web_content
creativity_0111	web_content
creativity_0015	writing_misc
creativity_0034	writing_misc
creativity_0040	writing_misc
creativity_0063	writing_misc
creativity_0064	writing_misc
creativity_0068	writing_misc
creativity_0071	writing_misc
creativity_0073	writing_misc
creativity_0080	writing_misc
creativity_0081	writing_misc
creativity_0084	writing_misc
creativity_0087	writing_misc
creativity_0088	writing_misc
creativity_0098	writing_misc
creativity_0102	writing_misc
creativity_0104	writing_misc
creativity_0118	writing_misc
creativity_0122	writing_misc
creativity_0026	screenwriting
creativity_0051	screenwriting
creativity_0059	screenwriting
creativity_0060	screenwriting
creativity_0070	screenwriting
creativity_0083	screenwriting
creativity_0086	screenwriting
creativity_0106	screenwriting
creativity_0006	screenwriting
creativity_0053	screenwriting
creativity_0066	screenwriting
creativity_0092	screenwriting
creativity_0000	music
creativity_0001	music
creativity_0018	music
creativity_0041	music
creativity_0049	music
creativity_0052	music
creativity_0067	music
creativity_0074	music
creativity_0076	music
creativity_0108	music
creativity_0119	music
creativity_0009	design
creativity_0011	design
creativity_0014	design
creativity_0019	design
creativity_0020	design
creativity_0022	design
creativity_0027	design
creativity_0029	design
creativity_0036	design
creativity_0055	design
creativity_0061	design
creativity_0079	design
creativity_0089	design
creativity_0090	design
creativity_0091	design
creativity_0093	design
creativity_0099	design
creativity_0103	design
creativity_0109	design
creativity_0110	design
creativity_0115	design
creativity_0117	design
creativity_0077	design
creativity_0012	writing_fiction
creativity_0017	writing_fiction
creativity_0021	writing_fiction
creativity_0024	writing_fiction
creativity_0028	writing_fiction
creativity_0030	writing_fiction
creativity_0032	writing_fiction
creativity_0043	writing_fiction
creativity_0045	writing_fiction
creativity_0047	writing_fiction
creativity_0048	writing_fiction
creativity_0058	writing_fiction
creativity_0096	writing_fiction
creativity_0121	writing_fiction
creativity_0005	arts_crafts
creativity_0023	arts_crafts
creativity_0025	arts_crafts
creativity_0035	arts_crafts
creativity_0037	arts_crafts
creativity_0039	arts_crafts
creativity_0078	arts_crafts
creativity_0095	arts_crafts
creativity_0107	arts_crafts
creativity_0112	arts_crafts
creativity_0120	arts_crafts
creativity_0123	arts_crafts
creativity_0124	arts_crafts
creativity_0094	photo
creativity_0003	photo
creativity_0008	photo
creativity_0010	photo
creativity_0013	photo
creativity_0033	photo
creativity_0046	photo
 creativity_0101	photo
creativity_0004	film_video
creativity_0031	film_video
creativity_0042	film_video
creativity_0050	film_video
creativity_0054	film_video
creativity_0062	film_video
creativity_0072	film_video
creativity_0105	film_video
creativity_0113	film_video
creativity_0114	film_video
